condition,agent_ratio,round,player_id,player_type,expression
Pure-human (0%),0,36,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward."
Pure-human (0%),0,37,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward."
Pure-human (0%),0,38,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward."
Pure-human (0%),0,39,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward."
Pure-human (0%),0,40,human_8,human,"an abstract gray rabbit, consisting of geometries, sits on the floor, looking backward."
Pure-human (0%),0,36,human_15,human,a grey rabbit is sitting on the ground and looking back in the night.
Pure-human (0%),0,37,human_15,human,a grey rabbit is sitting on the ground and looking back
Pure-human (0%),0,38,human_15,human,a grey rabbit is sitting on the ground and looking back
Pure-human (0%),0,39,human_15,human,a grey rabbit with two ears is sitting on the ground and looking back
Pure-human (0%),0,40,human_15,human,a grey rabbit with two ears is sitting on the ground and looking back
Pure-human (0%),0,36,human_7,human,it looks like a rabbit is sitting there and looking back
Pure-human (0%),0,37,human_7,human,it looks like a rabbit is sitting there and looking back
Pure-human (0%),0,38,human_7,human,it looks like a rabbit is sitting there and looking back
Pure-human (0%),0,39,human_7,human,it looks like a rabbit is sitting there and looking back
Pure-human (0%),0,40,human_7,human,it looks like a rabbit is sitting there and looking back
Pure-human (0%),0,36,human_14,human,a gray rabbit sitting on the ground to rest and looking back
Pure-human (0%),0,37,human_14,human,"a rabbit made of geometric shapes, sitting on the ground to rest, looking back"
Pure-human (0%),0,38,human_14,human,a rabbit made of geometric shapes looking back at its tail
Pure-human (0%),0,39,human_14,human,a small animal made of geometric shapes looks back sadly
Pure-human (0%),0,40,human_14,human,a little rabbit looks back sadly
Pure-human (0%),0,36,human_23,human,a rabbit hidden in the darkness made of tangram
Pure-human (0%),0,37,human_23,human,"a rabbit hidden in the darkness, made of tangram, is looking down at its tail"
Pure-human (0%),0,38,human_23,human,this is an abstract artwork modeled after the image of a rabbit
Pure-human (0%),0,39,human_23,human,this is a squatting rabbit image made of tangram
Pure-human (0%),0,40,human_23,human,a rabbit made of tangram is squatting in the dark night
Pure-human (0%),0,36,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting."
Pure-human (0%),0,37,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting."
Pure-human (0%),0,38,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting."
Pure-human (0%),0,39,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the floor and looking back, waiting for a companion in loneliness while resting."
Pure-human (0%),0,40,human_6,human,"a grey rabbit with two ears, made of abstract geometric patterns, is curled up on the ground and looking back, waiting for a companion in loneliness while resting."
Pure-human (0%),0,36,human_13,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,37,human_13,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,38,human_13,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,39,human_13,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,40,human_13,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,36,human_0,human,a rabbit is relaxing leisurely
Pure-human (0%),0,37,human_0,human,a rabbit is relaxing leisurely
Pure-human (0%),0,38,human_0,human,a rabbit is relaxing leisurely
Pure-human (0%),0,39,human_0,human,a rabbit is relaxing leisurely
Pure-human (0%),0,40,human_0,human,a rabbit is relaxing leisurely
Pure-human (0%),0,36,human_17,human,a rabbit with abtract shapes is looking back
Pure-human (0%),0,37,human_17,human,a cute rabbit is looking backward
Pure-human (0%),0,38,human_17,human,a cute rabbit is looking at its tail
Pure-human (0%),0,39,human_17,human,an abstract rabbit is looking backward
Pure-human (0%),0,40,human_17,human,a rabbit is looking back
Pure-human (0%),0,36,human_16,human,a rabbit looking backward
Pure-human (0%),0,37,human_16,human,a rabbit looking backward
Pure-human (0%),0,38,human_16,human,a rabbit looking backward
Pure-human (0%),0,39,human_16,human,a rabbit looking backward
Pure-human (0%),0,40,human_16,human,a rabbit looking backward
Pure-human (0%),0,36,human_4,human,a rabbit looking backward
Pure-human (0%),0,37,human_4,human,a rabbit looking backward
Pure-human (0%),0,38,human_4,human,a rabbit looking backward
Pure-human (0%),0,39,human_4,human,a rabbit looking backward
Pure-human (0%),0,40,human_4,human,a rabbit looking backward
Pure-human (0%),0,36,human_1,human,a grey rabbit sitting and looking backward.
Pure-human (0%),0,37,human_1,human,a grey rabbit sitting and looking backward.
Pure-human (0%),0,38,human_1,human,a grey rabbit sitting and looking backward.
Pure-human (0%),0,39,human_1,human,a grey rabbit sitting and looking backward.
Pure-human (0%),0,40,human_1,human,a grey rabbit sitting and looking backward.
Pure-human (0%),0,36,human_5,human,"a rabbit with two ears is sitting resting on the ground, looking backward."
Pure-human (0%),0,37,human_5,human,"a rabbit with two ears is sitting resting on the ground, looking backward."
Pure-human (0%),0,38,human_5,human,"a rabbit with two ears is sitting resting on the ground, looking backward."
Pure-human (0%),0,39,human_5,human,"a rabbit with two ears is sitting resting on the ground, looking backward."
Pure-human (0%),0,40,human_5,human,"a rabbit with two ears is sitting resting on the ground, looking backward."
Pure-human (0%),0,36,human_20,human,a rabbit sits on the floor and looks backward.
Pure-human (0%),0,37,human_20,human,a rabbit sits on the floor and looks backward.
Pure-human (0%),0,38,human_20,human,a rabbit sits on the floor and looks backward.
Pure-human (0%),0,39,human_20,human,a rabbit sits on the floor and looks backward.
Pure-human (0%),0,40,human_20,human,a rabbit sits on the floor and looks backward.
Pure-human (0%),0,36,human_11,human,"a rabbit with two ears, composed of gray geometric shapes,is sitting and resting on the ground, looking back,with its legs curled up."
Pure-human (0%),0,37,human_11,human,"a rabbit with two ears, composed of gray geometric shapes,is sitting and resting on the ground, looking back,with its legs curled up."
Pure-human (0%),0,38,human_11,human,"a rabbit with two ears, composed of gray geometric shapes,is sitting and resting on the ground, looking back,with its legs curled up."
Pure-human (0%),0,39,human_11,human,"a rabbit with two ears, composed of gray geometric shapes,is sitting and resting on the ground, looking back,with its legs curled up."
Pure-human (0%),0,40,human_11,human,"a rabbit with two ears, composed of gray geometric shapes,is sitting and resting on the ground, looking back,with its legs curled up."
Pure-human (0%),0,36,human_19,human,a rabbit looking backward
Pure-human (0%),0,37,human_19,human,a rabbit looking backward
Pure-human (0%),0,38,human_19,human,a rabbit looking backward
Pure-human (0%),0,39,human_19,human,a rabbit looking backward
Pure-human (0%),0,40,human_19,human,a rabbit looking backward
Pure-human (0%),0,36,human_10,human,a little gray rabbit with two ears is resting on the grass and looking at its tail.
Pure-human (0%),0,37,human_10,human,a little gray rabbit with two ears is resting on the grass and looking at its tail.
Pure-human (0%),0,38,human_10,human,a little gray rabbit with two ears is resting on the grass and looking at its tail.
Pure-human (0%),0,39,human_10,human,a little gray rabbit with two ears is resting on the grass and looking at its tail.
Pure-human (0%),0,40,human_10,human,a little gray rabbit with two ears is resting on the grass and looking at its tail.
Pure-human (0%),0,36,human_12,human,"a rabbit-like being, composed of grey tangrams, is sitting curled up and looking backward leisurely"
Pure-human (0%),0,37,human_12,human,"a rabbit-like being, composed of grey tangrams, is sitting curled up and looking backward leisurely"
Pure-human (0%),0,38,human_12,human,"a rabbit-like being, composed of grey tangrams, is sitting curled up and looking backward leisurely"
Pure-human (0%),0,39,human_12,human,"a rabbit-like being, composed of grey tangrams, is sitting curled up and looking backward leisurely"
Pure-human (0%),0,40,human_12,human,"a rabbit-like being, composed of grey tangrams, is sitting curled up and looking backward leisurely"
Pure-human (0%),0,36,human_21,human,"an rabbit made of grey geometries, sitting on the floor and looking at its tail backward"
Pure-human (0%),0,37,human_21,human,"an rabbit made of grey geometries, sitting on the floor and looking at its tail backward"
Pure-human (0%),0,38,human_21,human,"an rabbit made of grey geometries, sitting on the floor and looking at its tail backward"
Pure-human (0%),0,39,human_21,human,an rabbit sitting on the floor and looking at its tail backward
Pure-human (0%),0,40,human_21,human,an grey rabbit sitting on the floor and looking at its tail backward
Pure-human (0%),0,36,human_22,human,"a stylized person caught in mid-air, holding a brightly colored kite."
Pure-human (0%),0,37,human_22,human,"a figure performing an acrobatic leap, showing flexibility and strength in their body."
Pure-human (0%),0,38,human_22,human,"the girl sat on the beach, lost in thought, with her hair blowing freely in the wind."
Pure-human (0%),0,39,human_22,human,"a dog sitting on its hind legs, back arched in an elegant and fluid stretch."
Pure-human (0%),0,40,human_22,human,"a figure balancing on one leg, in a precise, focused yoga position, hands stretched outward."
Pure-human (0%),0,36,human_3,human,"a grey rabbit, sitting on the ground, looking back"
Pure-human (0%),0,37,human_3,human,"a grey rabbit, sitting on the ground, looking back"
Pure-human (0%),0,38,human_3,human,"a grey rabbit, sitting on the ground, looking back"
Pure-human (0%),0,39,human_3,human,"a grey rabbit, sitting on the ground, looking back"
Pure-human (0%),0,40,human_3,human,"a grey rabbit, sitting on the ground, looking back"
Pure-human (0%),0,36,human_2,human,a grey rabbit sitting on the black floor and looking backward to find and rest
Pure-human (0%),0,37,human_2,human,a grey rabbit with two ears sitting on the black floor and looking backward to find and rest
Pure-human (0%),0,38,human_2,human,a grey rabbit with two ears sitting on the black floor and looking backward to find and rest
Pure-human (0%),0,39,human_2,human,a grey rabbit with two ears sitting on the black floor and looking backward to find and rest
Pure-human (0%),0,40,human_2,human,a grey rabbit with two ears sitting on the black floor and looking backward to find and relaxing rest
Pure-human (0%),0,36,human_9,human,a grey rabbit is resting and looking backward.
Pure-human (0%),0,37,human_9,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,38,human_9,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,39,human_9,human,a grey rabbit is sitting there and looking backward
Pure-human (0%),0,40,human_9,human,a grey rabbit is sitting and looking backward.
Pure-human (0%),0,36,human_18,human,a rabbit sitting on the ground and looking backward
Pure-human (0%),0,37,human_18,human,a rabbit sitting on the ground and looking backward
Pure-human (0%),0,38,human_18,human,a rabbit sitting on the ground and looking backward
Pure-human (0%),0,39,human_18,human,a rabbit sitting on the ground and looking backward
Pure-human (0%),0,40,human_18,human,a rabbit sitting on the ground and looking backward
Human-led (12.5%),0.125,36,human_2,human,multiple grey triangles and squares form a grey rabbit sitting in a black background and looking back.
Human-led (12.5%),0.125,37,human_2,human,multiple triangles and squares form a grey rabbit sitting in a black background and looking back.
Human-led (12.5%),0.125,38,human_2,human,multiple triangles and squares form a grey rabbit sitting in a black background and looking back.
Human-led (12.5%),0.125,39,human_2,human,multiple triangles and squares form a rabbit sitting in a black background and looking back.
Human-led (12.5%),0.125,40,human_2,human,multiple gray geometric shapes form a rabbit sitting in a black background and looking back.
Human-led (12.5%),0.125,36,human_18,human,"the sky is dark, and the rabbit sits alone."
Human-led (12.5%),0.125,37,human_18,human,"the sky is very dark, and the rabbit sits alone."
Human-led (12.5%),0.125,38,human_18,human,"the sky is dark, and the rabbit is very lonely."
Human-led (12.5%),0.125,39,human_18,human,"the sky was dark, and a rabbit made up of various shapes was very lonely."
Human-led (12.5%),0.125,40,human_18,human,"the sky was dark, and a rabbit made up of various shapes sat there all alone."
Human-led (12.5%),0.125,36,human_4,human,a gray rabbit consisting of some geometric shapes is sitting under the black background.
Human-led (12.5%),0.125,37,human_4,human,some geometric shapes form a gray rabbit sitting under the black background.
Human-led (12.5%),0.125,38,human_4,human,some geometric shapes form a gray rabbit sitting under the black background.
Human-led (12.5%),0.125,39,human_4,human,a gray rabbit consisting of some geometric shapes is sitting under the black background.
Human-led (12.5%),0.125,40,human_4,human,a gray rabbit is sitting under the black background and looking back.
Human-led (12.5%),0.125,36,human_5,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,37,human_5,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,38,human_5,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,39,human_5,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,40,human_5,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,36,human_14,human,the picture composes polygons to mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,37,human_14,human,the picture composes polygons to mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,38,human_14,human,the picture composes polygons to mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,39,human_14,human,the picture composes polygons to mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,40,human_14,human,the picture composes polygons to mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,36,agent_2,agent,"a gray geometric rabbit, composed of triangles, sits on a black background."
Human-led (12.5%),0.125,37,agent_2,agent,"a figure, made of triangles and a square, sits upright on a black background."
Human-led (12.5%),0.125,38,agent_2,agent,"an abstract rabbit, constructed from gray geometric shapes, sits against a black background."
Human-led (12.5%),0.125,39,agent_2,agent,a gray geometric figure resembling a rabbit sits upright against a dark background.
Human-led (12.5%),0.125,40,agent_2,agent,"a geometric rabbit, formed by gray shapes, sits upright under a black background."
Human-led (12.5%),0.125,36,agent_0,agent,gray shapes form an abstract figure resembling a rabbit sitting and looking back.
Human-led (12.5%),0.125,37,agent_0,agent,"gray polygons form an abstract figure, referencing a rabbit sitting and looking back."
Human-led (12.5%),0.125,38,agent_0,agent,gray polygons form an abstract figure resembling a rabbit sitting and looking back.
Human-led (12.5%),0.125,39,agent_0,agent,gray geometric shapes form an abstract figure resembling a rabbit sitting and looking back.
Human-led (12.5%),0.125,40,agent_0,agent,"abstract geometric shapes form a bird perched, seemingly in flight."
Human-led (12.5%),0.125,36,human_15,human,multiple grey triangles and squares forms a sitting rabbit under black background.
Human-led (12.5%),0.125,37,human_15,human,multiple grey triangles and squares forms a sitting rabbit under black background.
Human-led (12.5%),0.125,38,human_15,human,multiple grey triangles and squares forms a sitting rabbit under black background.
Human-led (12.5%),0.125,39,human_15,human,multiple grey triangles and squares forms a sitting rabbit under black background.
Human-led (12.5%),0.125,40,human_15,human,multiple grey triangles and squares forms a sitting rabbit under black background.
Human-led (12.5%),0.125,36,human_7,human,a rabbit composed of multiple geometric shapes sits under a black background and looks back.
Human-led (12.5%),0.125,37,human_7,human,a rabbit composed of multiple geometric shapes sits under a black background and looks back.
Human-led (12.5%),0.125,38,human_7,human,a rabbit composed of multiple geometric shapes sits under a black background and looks back.
Human-led (12.5%),0.125,39,human_7,human,a gray rabbit composed of multiple geometric shapes sits under a black background and looks back.
Human-led (12.5%),0.125,40,human_7,human,a gray rabbit composed of multiple geometric shapes sits under a black background and looks back.
Human-led (12.5%),0.125,36,human_10,human,a grey rabbit figure sitting on a black background
Human-led (12.5%),0.125,37,human_10,human,a grey rabbit figure sitting on a black background
Human-led (12.5%),0.125,38,human_10,human,a grey rabbit figure sitting and looking back on a black background
Human-led (12.5%),0.125,39,human_10,human,a grey rabbit figure sitting and looking back on a black background
Human-led (12.5%),0.125,40,human_10,human,a grey rabbit figure sitting and looking back on a black background
Human-led (12.5%),0.125,36,human_13,human,multiple grey triangles and squares forms a sitting rabbit with standing ears under black background.
Human-led (12.5%),0.125,37,human_13,human,multiple grey triangles and squares forms a sitting rabbit with standing ears under black background.
Human-led (12.5%),0.125,38,human_13,human,multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.
Human-led (12.5%),0.125,39,human_13,human,multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.
Human-led (12.5%),0.125,40,human_13,human,multiple grey triangles and squares forms a sitting rabbit with standing ears under a black background.
Human-led (12.5%),0.125,36,human_19,human,a rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.
Human-led (12.5%),0.125,37,human_19,human,a rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.
Human-led (12.5%),0.125,38,human_19,human,a rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.
Human-led (12.5%),0.125,39,human_19,human,a rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.
Human-led (12.5%),0.125,40,human_19,human,a rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.
Human-led (12.5%),0.125,36,human_6,human,a gray rabbit with standing ears composed of gray geometric shapes is sitting under the black background .
Human-led (12.5%),0.125,37,human_6,human,a gray rabbit composed of gray geometric shapes is sitting under the black background with its ears standing up and looking back.
Human-led (12.5%),0.125,38,human_6,human,"a gray rabbit composed of gray geometric shapes is sitting under the black background , facing left."
Human-led (12.5%),0.125,39,human_6,human,"a gray rabbit with ears and a head, composed of gray geometric shapes is sitting under the black background ."
Human-led (12.5%),0.125,40,human_6,human,"a gray rabbit composed of gray geometric shapes is sitting under the black background , looking back."
Human-led (12.5%),0.125,36,human_17,human,a rabbit composed of geometric shapes sits on a black background with its ears standing up and looking back.
Human-led (12.5%),0.125,37,human_17,human,a rabbit composed of geometric shapes sits on a black background with its ears standing up and looking back.
Human-led (12.5%),0.125,38,human_17,human,a rabbit composed of geometric shapes sits on a black background with its ears standing up and looking back.
Human-led (12.5%),0.125,39,human_17,human,a rabbit composed of geometric shapes sits on a black background with its ears standing up and looking back.
Human-led (12.5%),0.125,40,human_17,human,a rabbit composed of geometric shapes sits on a black background with its ears standing up and looking back.
Human-led (12.5%),0.125,36,human_12,human,"the sky is very dark, and a grey cat with long-standing ears is sitting."
Human-led (12.5%),0.125,37,human_12,human,"the sky is very dark, and a grey deer with long-standing ears is sitting."
Human-led (12.5%),0.125,38,human_12,human,polygons (triangles and a square) form a shape like a abstract gray horse sitting in a black background looking back.
Human-led (12.5%),0.125,39,human_12,human,polygons (triangles and a square) form a shape like a abstract gray deer sitting in a black background looking back.
Human-led (12.5%),0.125,40,human_12,human,polygons (triangles and a square) form a shape like a abstract gray cat sitting in a black background looking back.
Human-led (12.5%),0.125,36,human_9,human,"a rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background"
Human-led (12.5%),0.125,37,human_9,human,"a rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background"
Human-led (12.5%),0.125,38,human_9,human,"a rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background"
Human-led (12.5%),0.125,39,human_9,human,"a rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background"
Human-led (12.5%),0.125,40,human_9,human,"a rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background"
Human-led (12.5%),0.125,36,agent_1,agent,"an abstract figure of a rabbit, made of geometric shapes, sits on a dark background facing left."
Human-led (12.5%),0.125,37,agent_1,agent,"a grey rabbit composed of geometric shapes sits on a dark background, facing left."
Human-led (12.5%),0.125,38,agent_1,agent,a grey rabbit made of geometric shapes sits on a dark background and looks back.
Human-led (12.5%),0.125,39,agent_1,agent,a triangular kite with a tail is flying in space.
Human-led (12.5%),0.125,40,agent_1,agent,a gray rabbit figure made of geometric shapes is sitting on a dark background.
Human-led (12.5%),0.125,36,human_8,human,a rabbit with ears and a head is sitting in a black background.
Human-led (12.5%),0.125,37,human_8,human,a rabbit with ears and a head is sitting in a black background.
Human-led (12.5%),0.125,38,human_8,human,a rabbit with ears and a head is sitting in a black background.
Human-led (12.5%),0.125,39,human_8,human,a rabbit with ears and a head is sitting in a black background.
Human-led (12.5%),0.125,40,human_8,human,a rabbit with ears and a head is sitting in a black background.
Human-led (12.5%),0.125,36,human_11,human,"a gray figure pieced together from geometric shapes like triangles, squares, and quadrilaterals, resembling a lying rabbit looking backward, against a black background."
Human-led (12.5%),0.125,37,human_11,human,"a lying gray geometric rabbit shape, composed of triangles and squares, positioned on a black background."
Human-led (12.5%),0.125,38,human_11,human,"a gray figure pieced together from geometric shapes like triangles, squares, and quadrilaterals, resembling a rabbit, against a black background."
Human-led (12.5%),0.125,39,human_11,human,"a rabbit with two triangular ears and a square head, composed of multiple gray triangles and squares, is looking back at its raised tail."
Human-led (12.5%),0.125,40,human_11,human,"a gray rabbit with perked ears, composed of geometric shapes like triangles and squares, lies on a black background looking backward."
Human-led (12.5%),0.125,36,human_3,human,an animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.
Human-led (12.5%),0.125,37,human_3,human,an animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.
Human-led (12.5%),0.125,38,human_3,human,an animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.
Human-led (12.5%),0.125,39,human_3,human,an animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.
Human-led (12.5%),0.125,40,human_3,human,an animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.
Human-led (12.5%),0.125,36,human_20,human,a rabbit composed of polygons is sitting under black background and looking back.
Human-led (12.5%),0.125,37,human_20,human,a thinking rabbit composed of geometric shapes is sitting under black background.
Human-led (12.5%),0.125,38,human_20,human,a rabbit sits alone under dark-black background.
Human-led (12.5%),0.125,39,human_20,human,some polygons mimic a grey rabbit's body posture.
Human-led (12.5%),0.125,40,human_20,human,a rabbit composed of polygons sits on a black background with its ears standing up.
Human-led (12.5%),0.125,36,human_1,human,a rabbit composed of geometric shapes is sitting under black background and looking back.
Human-led (12.5%),0.125,37,human_1,human,a rabbit composed of geometric shapes is sitting under black background and looking back.
Human-led (12.5%),0.125,38,human_1,human,a rabbit composed of geometric shapes is sitting under black background and looking back.
Human-led (12.5%),0.125,39,human_1,human,a rabbit composed of geometric shapes is sitting under black background and looking back.
Human-led (12.5%),0.125,40,human_1,human,a rabbit composed of geometric shapes is sitting under black background and looking back.
Human-led (12.5%),0.125,36,human_16,human,"grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward."
Human-led (12.5%),0.125,37,human_16,human,"grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward."
Human-led (12.5%),0.125,38,human_16,human,"grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward."
Human-led (12.5%),0.125,39,human_16,human,"grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward."
Human-led (12.5%),0.125,40,human_16,human,"grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward."
Human-led (12.5%),0.125,36,human_0,human,"a grey rabbit comprised of geometric shapes sits, facing left, on a dark background."
Human-led (12.5%),0.125,37,human_0,human,"a grey rabbit comprised of geometric shapes sits, facing left, on a dark background"
Human-led (12.5%),0.125,38,human_0,human,"a grey rabbit comprised of geometric shapes sits, facing left, on a dark background."
Human-led (12.5%),0.125,39,human_0,human,polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.
Human-led (12.5%),0.125,40,human_0,human,a rabbit composed of geometric shapes is sitting under black background and looking back
Intermediate (33%),0.333,36,human_1,human,"a geometric composition of triangles and a square, looks like an seated animal."
Intermediate (33%),0.333,37,human_1,human,"a geometric composition of triangles and a square, looks like an seated animal."
Intermediate (33%),0.333,38,human_1,human,"a geometric composition of triangles and a square, looks like an seated animal."
Intermediate (33%),0.333,39,human_1,human,"a geometric composition of triangles and a square, looks like an seated animal."
Intermediate (33%),0.333,40,human_1,human,"a geometric composition of triangles and a square, looks like an seated animal."
Intermediate (33%),0.333,36,human_4,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,37,human_4,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,38,human_4,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,39,human_4,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,40,human_4,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,36,human_2,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,37,human_2,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,38,human_2,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,39,human_2,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,40,human_2,human,a animal(seated person) composed of irregular geometric tangram shapes and looking behind
Intermediate (33%),0.333,36,human_11,human,geometric shapes form an abstract human-like figure.
Intermediate (33%),0.333,37,human_11,human,geometric shapes form an abstract human-like figure.
Intermediate (33%),0.333,38,human_11,human,geometric shapes form an abstract human-like figure.
Intermediate (33%),0.333,39,human_11,human,geometric shapes form an abstract human-like figure.
Intermediate (33%),0.333,40,human_11,human,geometric shapes form an abstract human-like figure.
Intermediate (33%),0.333,36,human_0,human,a geometric figure composed of triangles and quadrilaterals that looks like a sitting person with huge headwear bending her knees.
Intermediate (33%),0.333,37,human_0,human,a geometric figure composed of triangles and quadrilaterals that looks like a sitting person with huge headwear bending her knees.
Intermediate (33%),0.333,38,human_0,human,a geometric figure composed of triangles and quadrilaterals that looks like a sitting person with huge headwear bending her knees.
